cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive
1.4752737,1.5078345,15.0776342,61.0729186,64.5017329,47.5327536,30.417921,7.2850271,15.6259566,67.1236971,42.3482126,37.2471249,20.2454175,14.8145014,46.5980604,3.8609004,40.3283216,16.025689
2.3573075,2.4675659,23.7189895,82.427726,80.9194784,76.6268764,19.0416657,60.4386661,27.4760143,57.431888,27.6988787,62.1939443,29.0626226,23.2724207,85.7271997,5.0201583,36.5540081,12.5397908
2.6606479,2.6508076,22.8573543,58.3785078,60.0980855,57.4947999,24.7393184,10.909404,14.9486484,62.8315764,36.7155952,43.142349,31.1060558,24.6357301,58.4883466,3.1933086,38.8472359,29.551943
1.3680865,1.4798126,13.9155082,66.176191,67.6490543,56.932334,29.0157229,9.4701317,17.0680247,70.6353762,40.9622466,36.9452191,19.8077747,14.304577,54.8970496,3.4251876,36.983648,8.2524192
1.4658653,1.4682008,17.7223858,64.5713935,67.7202195,55.8557353,29.7218247,10.7433668,17.6538088,70.5124332,42.2876693,37.0808656,21.2276325,16.154416,50.565438,3.2127255,37.4229263,16.0710332
1.9699391,2.010117,23.9128283,67.7277814,67.0982743,63.9153836,23.8865343,15.0569878,15.7999546,63.3261335,36.5907986,50.2959526,30.2917048,24.9404928,63.7085091,3.8568914,31.4735829,25.1506303
4.8872109,5.0024636,43.8791338,64.4067322,64.8132394,56.6095666,19.0451782,9.4638089,16.8953302,57.5612913,29.1541441,50.3782264,51.2864759,44.3787372,60.0730489,2.2530059,38.7740057,38.6889283
1.2843434,1.3430048,13.4554898,67.1535402,69.1439849,70.617993,26.5425194,8.0052664,15.1041526,69.8865442,44.2962632,39.4029237,17.0299483,11.9325488,47.0553005,7.2750695,33.0800242,12.755102
2.7611913,2.8903148,35.462062,68.2033785,68.2382837,62.5128413,18.7175712,17.1510129,20.0371585,58.8727102,28.2733443,51.6016268,41.0257158,35.580715,65.7863017,2.4022897,34.6859822,33.2191956
1.4086075,1.4391589,19.3705084,64.3785806,67.667374,53.473909,27.2676498,8.7336061,16.6828509,68.9853832,39.7904529,45.0340654,24.4118385,19.8673968,54.0035888,3.3098335,38.7499954,15.0793747
3.9469086,4.0362933,34.9732266,65.8199231,69.4558564,61.3995474,23.0585189,10.8121678,17.3598326,61.6414232,31.5426073,51.1777654,41.7571301,34.9422802,56.5040803,2.3940853,41.4907511,22.0939044
1.9362744,1.972163,25.1666287,75.067078,73.4165108,66.246455,26.4879589,12.336672,16.4575363,66.9155566,34.2645192,46.5938782,31.0243676,26.2889603,53.005126,4.0254387,31.4304586,20.4862388
1.0384516,0.9952938,15.7247891,75.9456731,74.1081322,70.715761,21.4950192,66.7459128,27.9224877,67.4367028,35.7122337,44.295316,18.131066,14.2839563,85.6833889,5.5804858,33.2571769,10.0000854
1.3286922,1.3344508,16.2053473,68.7859911,69.7330366,67.9542582,25.3176726,49.0596278,20.16937,62.7107599,34.6567559,45.1599288,20.001645,15.8041076,78.2602213,5.9046573,34.8920812,18.9324874
1.4137058,1.4027617,14.5483045,71.7819513,71.7895965,65.4342719,26.8487414,11.6481172,14.334532,66.318141,42.037793,46.9490142,18.8366124,14.7997711,56.8814647,4.5121116,32.2826778,16.2820513
1.1488638,1.1900897,14.7717011,64.1048712,65.9803552,52.359976,29.0121304,16.4068993,17.8077958,69.4228174,41.2678747,33.5296124,19.3661349,14.616335,52.3879851,3.4804953,35.6840361,9.1379123
1.3220543,1.3347643,17.7037367,64.2063608,69.6691222,51.3626004,26.318005,13.1028027,17.4887428,68.1083065,42.3526474,40.4777805,22.230088,18.319105,55.9721118,3.8892294,36.8490012,17.9715429
1.8576377,1.8055053,19.2456047,67.7986768,68.7167044,62.2502593,28.6049179,13.9824471,16.1397493,66.9625774,41.1336815,39.4886489,23.3850092,19.3944065,48.8883857,3.9121849,30.9721712,17.6802689
0.8234022,0.8522951,9.1525076,77.7275525,78.6729712,72.6528929,24.5871078,23.7279181,21.9556516,64.7908205,36.851581,50.4923881,11.7676738,7.6936006,63.5616006,8.847056,36.0793488,5.3827777
3.6690111,3.8044967,35.0467485,70.2954838,70.0359583,64.8814103,19.0336871,16.1263659,15.5895485,62.6916134,33.9949296,54.7925357,41.2629641,34.9208184,66.2784895,3.4976612,37.0330879,32.4912276
0.7383977,0.8469334,9.096648,79.3056238,79.3736741,73.8452116,21.3819663,26.7008088,20.7959681,64.1378571,33.8856627,51.433564,11.8858695,8.7122339,64.533297,8.3912945,38.4933229,5.8648135
5.2283582,5.4178828,40.9190888,72.8072879,73.165762,73.9646232,17.7204609,38.2295721,17.9333884,59.4406242,31.1571089,53.8145617,47.4850284,40.4625078,76.3362204,4.3623065,35.5667328,33.9623115
3.0542456,3.1037234,37.8842601,70.6408579,70.3574703,68.2273697,18.5488548,33.7970586,16.8513419,60.2245424,32.8601748,50.947352,44.0369802,38.2832585,74.9278583,4.4195495,36.172986,31.8560925
2.2353223,2.1964076,20.8466511,58.1229749,60.53303,53.9438599,27.7533098,8.855969,14.7122405,66.7663919,39.6257179,45.125846,28.0761013,21.6857902,52.8218657,3.878139,40.5625121,21.5252635
1.266758,1.27166,17.1587857,71.7552756,74.2652054,58.5772859,25.197264,21.6664466,20.9639715,64.7644068,39.01231,52.0064575,22.3663358,17.3811993,65.3877845,4.0855931,40.4825565,13.4023293
4.6262523,4.672645,42.2866273,64.9640147,66.0983637,56.8186124,18.6854179,9.0303424,17.5491545,58.7419069,28.7072989,48.8701946,49.3431142,42.6747962,59.1471066,2.5790591,36.8095889,34.2591363
0.8410197,0.8143766,16.4448232,73.2454047,74.2031395,65.7763833,18.7192474,65.9342414,29.7651722,66.4782561,31.4668051,46.1105399,19.434036,15.702274,86.1181946,4.0803935,32.6104865,14.0245866
1.3327783,1.3600106,18.3039416,68.9563154,70.1139448,64.0773325,26.7488582,11.8908932,17.4428716,68.441815,37.0217456,42.2780824,22.3603809,17.9828373,51.2698307,5.2165497,34.0784525,14.7260153
3.2432868,3.333134,38.1183614,70.3161752,70.5051003,65.0339232,17.2130536,17.0706038,19.9913768,57.5989832,26.8484786,53.2560631,43.4925139,37.9949748,66.0515417,2.8787229,34.6631949,30.7824846
1.953972,1.9358548,20.1837753,56.6335183,62.6249579,55.1880174,25.8721421,8.5737601,14.5533633,66.4598228,39.7803128,39.9119217,26.1978309,20.2283648,52.2896169,3.3850672,40.1868692,21.3724821
0.865011,0.8655991,8.6300177,64.6798199,66.528548,64.7903506,29.6059665,5.1625725,12.0575662,70.3199361,46.683393,39.9884478,11.7174843,7.769922,38.531616,5.2524169,36.6779306,7.1597625
1.7236796,1.7841348,19.2192801,60.0387899,62.3027991,60.5088319,29.9510136,5.3583503,12.1642947,66.8378384,42.6510442,37.1578273,25.7718652,20.3512121,43.3671354,4.0849748,29.5851672,28.9106296
1.8559242,1.8699884,24.521653,70.5445339,72.9453068,65.5047521,28.04318,9.2966874,19.345637,66.448621,38.2370211,44.6489565,29.2083509,24.3136777,50.3476011,5.3557677,31.4653411,17.0775754
2.6559565,2.721548,27.2799639,70.7124923,68.2920283,63.0477015,24.1520672,15.4917059,17.6845196,63.3862359,35.4426834,51.3994029,32.2489165,26.0155935,63.8020263,3.9903392,33.8954012,16.441934
1.1535726,1.1775796,14.5479164,72.5085933,73.8287407,59.8505414,25.6863497,21.5140423,18.8855154,64.7517296,40.8472791,49.9899483,19.6940225,14.5668331,64.0726657,4.6617449,42.1565235,12.7304865
1.5841557,1.5571433,10.4143888,69.5190788,69.87608,69.9604056,29.7967303,13.8080607,17.5413573,64.820254,42.2316515,37.1379395,15.6836126,11.0439262,46.4965563,7.6475151,39.4508157,7.0715284
1.0470705,1.0400925,14.9376902,74.5264901,75.1407271,68.1249863,23.6098423,64.5225868,27.5028813,68.5979857,34.2154207,47.1592709,17.4099197,13.7667548,85.3872818,4.7678114,33.2493906,10.2410379
1.4590051,1.4352658,15.8717418,60.1845947,65.100369,48.605773,29.3169017,5.8052336,16.2273917,66.4636273,43.7984577,37.5852279,21.0558583,15.6219491,47.8841372,3.4840422,38.4575414,15.6903831
1.3685016,1.3932473,17.8362606,67.4576871,68.9630578,64.4905641,25.6362616,11.7902619,18.8655533,69.0571234,37.5595573,41.2966349,22.4419808,17.7711281,51.1562924,5.2572676,36.0607825,15.1494598
0.7351986,0.7641542,9.7403432,60.816764,61.3714641,58.0838299,28.7432941,9.7527803,14.8298952,69.8845497,42.0010667,39.1962953,13.0852591,8.893383,47.15672,5.22268,43.000657,5.4517417
1.4942913,1.5055405,20.146805,67.0578753,67.8818547,60.2317604,28.0300496,12.3825624,15.4051791,67.5707278,40.690253,42.5568119,25.1992471,21.0491191,49.2739285,4.5013059,30.8530968,15.3930963
2.0822708,1.9362143,20.6896618,68.7183929,72.9199319,71.638574,18.631533,22.9109553,24.1257529,67.9851092,31.0605985,45.6893881,22.9949239,18.9340102,67.849345,4.5068929,39.556962,24.25
1.2875889,1.3032411,15.7615033,65.104755,66.1936949,60.0288696,30.3781299,9.8302496,15.3765694,70.4508376,42.9694764,41.5743369,20.2245101,15.2557887,53.7194877,3.036676,32.7559742,10.9872716
1.3903202,1.4294546,12.267253,55.9845118,59.148687,55.1639633,31.3446652,2.0390398,11.5919627,68.334478,45.5185592,31.2514524,16.3686102,11.8795646,29.0610077,4.4732743,37.3381605,5.0162152
5.0987144,5.2601532,41.3428443,67.0321669,68.0873348,54.7042249,20.2131619,16.5040431,20.953074,58.732077,29.4915035,52.5850873,48.9853649,41.6999346,61.9689844,3.0103314,41.6361219,34.2741557
2.0095596,2.0337225,19.6547215,69.7153975,71.0028757,60.8787175,26.3130044,23.2885078,17.2726325,68.4598797,34.4545126,48.4015752,24.7983576,19.6242378,70.2475073,2.7525815,32.7636089,14.8310545
2.1595047,2.1272689,22.8962698,63.9127479,68.9607092,56.6057916,28.3530591,11.9715636,15.84462,67.1525914,39.0566685,41.8420222,28.2093676,23.0337753,51.9868144,3.6849654,39.3040155,19.4050471
0.9768508,1.0709327,13.8324477,77.1471786,76.3541676,71.8434798,25.1365486,25.5484237,21.9275343,67.3297864,38.2792627,44.4779102,16.3497816,12.7074522,66.3779598,4.1461429,35.5972604,8.9356528
2.3185448,2.5482329,30.2830744,72.1848598,73.5864725,69.262392,17.2050075,21.4022637,17.921859,64.4360859,25.7059853,52.786597,34.6223539,30.363906,67.4832021,2.6212851,32.8873239,16.4723032
1.4680479,1.4720211,13.9689351,56.1987203,62.8924633,56.8310842,28.174773,6.6615081,15.4731773,65.902438,40.4932311,38.5971643,18.9068088,13.8527362,48.2342342,3.0808277,41.9477868,15.3877476
1.3195317,1.2976102,14.2154109,67.1973308,68.1587102,55.1986054,30.0369315,17.3268066,19.2149847,69.5243873,41.9024922,35.7451167,18.2544849,13.8812866,52.0100653,3.3223463,36.4229448,13.498104
1.6851757,1.8206178,24.9141164,82.6866381,78.4890259,83.8674652,13.6515949,59.4657886,23.1402117,59.7287244,23.2471709,59.3036396,30.7329078,25.9120672,85.3629803,6.2998576,34.9211876,21.5730875
1.826981,1.7520844,20.5961854,78.2472199,74.147816,73.2396579,22.8864016,61.2571049,27.3914893,62.3464844,33.012599,56.2529331,26.4332445,21.0575631,84.9053278,3.6626106,43.2052572,19.1700084
1.4475265,1.4923294,18.0644423,76.958218,77.0478367,76.0737369,14.4426542,51.4490212,23.6163144,61.3731856,25.521231,52.2506481,21.8272901,18.2013359,83.4162108,4.2195122,36.5308151,18.6802974
3.4349181,3.5301252,33.9364304,69.952039,70.4562245,65.5211202,19.1798035,16.6163172,14.7355921,62.8170631,34.6390622,54.5668732,39.9960503,33.7869791,66.2276682,3.4746391,37.4937427,32.5181749
1.0647672,1.1139957,22.8717458,77.113224,77.6981181,67.9162218,23.1324145,59.1527537,26.0409377,67.4289141,34.8359449,59.2585003,24.8621361,19.988719,86.0167316,2.8881656,46.6405352,12.337673
2.158242,2.1503393,22.6666349,58.6624138,62.0200399,53.2240113,25.3593326,16.2891067,19.6270174,64.5107239,34.8918989,40.0790983,29.9019458,22.9876141,60.0054762,3.2981546,39.6763168,29.301725
1.2263776,1.2748728,16.4395467,76.5102794,79.9730931,64.0781224,22.4284861,53.6896607,26.4909784,65.4028887,34.8208041,49.7219547,20.2324183,15.5667887,83.9443265,4.5389187,39.8537325,10.7768888
2.75614,2.7362714,26.7802703,55.037655,58.7092014,51.7896223,24.9484864,10.8618109,15.2022196,64.4675226,34.6799689,44.7212782,33.9044121,28.1088742,58.7112688,2.9841308,36.1443884,35.2397263
1.9976207,2.050807,26.9729028,67.0801524,68.8765476,58.7831732,29.3029489,12.0473133,15.749065,65.6579784,37.8364466,44.4682403,32.158957,26.1237998,52.9077157,3.2172295,37.7424701,23.7002894
1.0715793,1.1003032,14.7895268,74.6098796,75.4509343,68.8284601,22.0426078,65.5392936,26.9253669,66.1460697,35.3380029,45.4026703,18.0160399,13.9174736,85.1126927,6.3105113,32.7931739,9.3926787
1.9757119,2.0267387,22.1281931,64.8802755,67.0432217,62.594463,24.1156612,13.026962,14.8069531,66.0062098,39.0726989,47.6564296,27.1513326,22.1272855,60.6094649,4.1474414,34.9411721,25.3444227
1.2960034,1.3084629,15.3326167,65.29763,68.2322852,53.1468975,27.1412855,11.2267444,17.7667973,68.4149148,38.522518,38.2688855,19.0781572,14.5684459,54.6597121,2.9252423,36.7700885,9.6250202
0.8830113,0.8978829,13.4874927,75.8614203,78.0122223,71.5025938,22.0493073,66.517284,30.4877983,68.5934465,33.7449138,48.122231,16.7668733,13.3800444,85.8081605,5.5076387,31.6481674,11.2816132
2.0084919,2.0513026,26.3454588,68.4670126,69.7752165,59.1365476,29.7850263,11.9693445,16.7406618,66.1182263,37.9186482,44.6208001,31.5883434,26.0967449,52.4970918,3.5162616,37.3447505,25.1043762
1.0188226,1.083909,12.8509432,78.4368403,76.8037724,72.9376966,22.962616,27.6017983,21.5441077,65.4554103,32.7104797,50.6781848,16.3253139,12.4141093,64.9119248,14.6111685,39.8022665,7.3001713
0.8074066,0.8636871,13.4122199,77.6194937,77.4957799,72.1023459,22.8991417,66.2934287,24.1066268,67.7883569,32.8786286,48.6920698,17.0739567,13.2118236,86.106913,5.3949726,31.6508112,5.2469795
1.3713386,1.3958248,18.7591044,65.4787447,68.0927976,55.9955532,31.7981218,11.6301736,14.5104113,66.103931,36.7506642,41.1590339,22.7044684,18.1117754,49.4497509,2.8637624,39.4793447,13.7658402
1.5185101,1.6242926,10.0340107,76.2694629,76.335803,77.7190212,25.9583146,19.3313099,14.9004805,67.1449567,37.5570623,46.4025326,14.7854832,10.0868231,55.2701278,10.5221712,40.2645812,4.3991369
1.1873198,1.2351402,19.7660979,64.7900393,68.8502427,53.5158898,24.6639829,13.0354124,16.8987677,69.1317937,41.4774678,42.3135674,23.542465,19.5088351,56.936659,3.5933726,38.092811,15.6592741
2.1160758,2.2114165,28.2228986,67.2192978,69.0126117,59.5619259,27.4270816,10.5827807,15.5340355,65.6712805,35.3000035,46.8300062,33.3830951,27.401274,55.0550048,2.8535672,35.6821102,21.1436099
1.0303335,1.0323173,15.3366829,73.8106797,75.4940923,68.8549371,20.0639078,62.3660623,30.0059589,69.1618239,32.6908395,45.3681145,19.5543728,15.4579748,85.0109944,4.4959326,33.6132236,10.1941286
4.883376,4.9729189,38.6730882,64.6326638,67.394323,53.4633686,20.4818953,10.225588,16.0435757,59.8781342,29.1264319,51.1107211,46.0895489,38.4392333,59.2088342,1.8864737,40.2427841,37.6475391
1.3158063,1.3681554,11.3732697,57.2079716,62.402308,55.4563845,31.304118,2.4608285,12.3947691,68.9027114,44.1510911,32.0447166,15.8343643,11.5480528,31.205207,4.5873517,36.8962122,7.4144811
3.8505719,3.9667713,37.8153824,75.05597,72.2020962,69.355359,21.1159527,52.6765609,21.5533826,57.7474711,28.1530358,57.1137843,43.8314656,37.4475462,83.7085847,4.4164591,36.4284044,21.4066772
1.9918571,2.0306777,19.6151586,77.6653637,76.8271372,73.5408421,17.8152546,58.3677331,26.1117261,60.1847431,29.4571259,57.1005369,24.4899223,19.6209096,83.8878918,5.610312,37.452842,17.1544036
0.9714108,0.9703976,8.3165137,59.8798005,62.4507936,57.8534281,31.5193095,9.5755288,15.8839894,67.9062545,44.1386824,35.1504118,12.6916427,7.8567362,43.7521723,4.684734,39.1352683,6.6177524
3.1540983,3.2146511,31.8884092,60.4045412,63.9222796,54.4137229,21.9514965,18.7496681,19.2136636,60.9765067,30.9758265,50.2005384,39.9660638,32.3570483,65.544301,2.6407066,41.6365386,38.0014982
1.2704553,1.3637963,17.4300451,80.1733958,75.9757927,82.9818153,15.1825099,56.6570103,21.441119,60.3606532,23.5680029,54.5041267,22.2162435,17.9724575,84.0188407,6.0477763,34.4869201,15.9063653
1.4508694,1.5124191,21.1552791,78.0287546,78.3026654,68.5480475,21.0828272,55.5901288,24.2382994,64.4817815,31.1275294,62.4098231,23.2955249,17.9803319,85.8495469,3.3491586,45.5001967,16.8085321
1.7730405,1.8469855,19.1283288,66.252201,66.7498143,62.9460546,28.6099083,14.1527725,18.0037978,66.403482,42.1873852,36.4594149,24.2850927,19.074059,48.2418759,4.1919155,30.7936466,19.1466134
0.7947958,0.8330027,10.4134545,63.597186,63.8947825,61.4930659,30.4039507,7.8883737,12.2424109,70.339667,45.6710928,40.9960031,14.2276443,10.3948915,47.0721026,5.1169975,36.1646425,10.3284383
6.9230168,7.0607927,44.7787017,63.9961899,65.4119047,55.4788564,20.3359897,12.1847007,17.6552647,59.0288236,27.4590818,53.6508154,53.2448853,46.0997269,62.5849605,2.3998019,42.8013797,42.5087543
4.2101771,4.5048116,39.6893518,63.9190543,63.1699752,60.915891,20.8239587,6.5408071,13.5792345,57.7021748,30.6859531,46.4245753,48.0894707,40.5944585,50.1251089,3.1571261,33.3250658,36.5302278
1.2272881,1.2722182,14.5827297,61.7407589,65.3156389,56.5973881,28.1413498,6.3191508,12.6738896,66.8488828,42.7520143,34.87777,17.3805447,12.9063667,42.4906574,3.0599933,37.9982853,14.6046755
1.2823428,1.2690047,17.1592773,64.850906,67.4790174,51.2842603,27.2690586,11.425284,17.0059974,68.9801129,39.0377418,41.7479479,21.9242024,17.2875138,57.9259534,4.5180958,35.7575636,13.7010788
4.538664,4.6129904,41.5861641,65.0326589,66.5669038,56.5165526,19.4663051,8.9146569,17.887445,59.4655575,28.9866382,49.6369618,48.473038,42.1545962,59.0804732,2.3956736,37.1033969,32.8702789
0.4906187,0.518412,9.8369172,78.0917543,76.705208,78.6541412,22.252502,32.3342978,20.5499352,62.5734158,35.5009701,46.9655732,11.5339811,7.935143,63.4973548,6.4586178,35.8802,6.2080537
1.1851576,1.2776823,10.1778708,76.0464953,74.2748673,80.5442854,24.6687321,13.6851515,15.4155349,68.5844861,38.518032,46.5356652,14.2197081,10.1414135,47.9213464,10.2081013,35.0945436,5.3191238
2.0068871,2.0633757,22.2066038,74.0443718,69.6757842,71.5386694,27.5824486,12.9813793,14.2018756,64.6831619,31.9861392,47.5395729,27.5045213,22.6034076,56.3202078,3.9810142,30.0442567,13.4156871
1.3468134,1.4111883,15.0468428,65.4664547,65.9216815,56.2289077,23.7728623,13.3379442,18.8302687,68.9624841,39.3964227,40.5888611,19.8481142,15.2504112,60.4031182,2.9700845,34.4017746,15.079292
3.5196948,3.6174321,30.2706119,65.8739472,62.8264921,63.4328883,30.2679016,4.6106405,13.2027153,63.6260433,33.8012404,42.7142395,34.9924243,28.8224252,44.0947548,2.9219981,30.3589295,23.4981
1.6290544,1.5992238,23.7669724,71.1307551,73.5043749,66.7596254,24.3376155,11.1651341,20.4077581,64.8575154,36.2140056,42.675908,27.5379107,22.6597223,49.6654935,5.2759888,29.6747485,16.4286086
1.1075074,1.1145433,11.7847075,70.5343548,71.0650664,61.0176512,28.8852504,16.5244568,18.1381043,67.2631689,42.5755981,44.8104118,16.0232868,11.2658631,57.4686088,4.5611165,40.9286143,7.2887848
1.9688386,2.0227323,26.8102215,70.8785055,69.8024407,66.75155,19.6275585,55.1967405,24.3725306,59.0425283,28.8220174,52.7727012,32.0239259,26.9171227,82.8405361,4.7794488,35.8640299,26.9271746
1.1610611,1.1576658,15.0750418,68.3636107,68.9168185,67.7351193,27.1345146,47.0280663,18.8333977,63.3242839,36.3984727,46.3473484,18.4174405,14.3990912,76.3374423,6.0447903,36.4973874,15.476173
3.3599265,3.4762789,35.0596544,80.5297782,78.9973932,74.5442185,12.9524695,63.1293562,29.4725135,56.6560605,24.6641738,64.3191052,40.9423727,34.4675264,87.8639379,4.4843925,40.401143,25.3752974
1.4422985,1.4936746,19.5165876,68.0554472,67.0507311,57.7755546,29.2836579,13.2237473,15.7174276,68.7730027,42.0995681,38.3510521,22.7662789,18.2648354,48.9851237,4.0798441,30.2310203,13.2478234
1.3586609,1.3493412,10.2205494,70.400872,71.6050712,67.5336519,29.3761201,11.1906904,16.481483,65.7122843,42.1534454,40.9473954,15.6265442,10.2560825,44.4578634,7.2461849,37.7250647,6.3741835
1.5905265,1.5982373,23.4636588,69.4089128,72.3566013,66.161849,25.496679,11.6904064,21.0346739,65.5148229,37.4610659,42.3969293,28.2606218,23.4070762,49.815419,5.2984089,29.5257542,15.2891616
1.7286746,1.6478044,17.6793076,60.6863924,65.2244573,53.6412573,30.3477991,8.1466777,16.0317737,69.4771915,39.7960532,40.8564287,23.410155,17.5702973,50.013048,3.4823711,39.1646815,17.131992
2.3218016,2.3740615,25.7322072,64.5044598,67.3692485,55.1285722,29.4734256,8.0044988,13.6609729,67.305304,36.9030138,44.1868473,30.2887333,24.1022953,51.7167418,2.6853771,37.0904357,16.0694168
2.8381468,2.9268386,30.9593084,74.1030315,72.6155323,71.6831047,21.5433764,32.36382,13.7481884,62.0452566,32.6167756,51.6249291,37.6990323,31.0290742,71.7732442,5.2706467,34.4874933,17.7867985
1.3668553,1.3980521,13.3912367,68.9656017,72.2954991,67.3042443,20.5189518,63.5179066,28.1098965,66.575245,35.8943026,45.5091665,16.2464201,12.9117242,84.8620831,4.8582651,33.3192588,10.2508573
4.6563836,4.7574305,33.7927911,67.5326215,70.1332515,59.1556953,23.1378159,16.8695578,16.5826069,60.5357994,30.3135225,51.6421637,42.3950632,34.3725354,64.1024708,3.5520368,38.7377436,26.977447
1.6017729,1.5901784,15.5548571,61.8733334,63.9693873,48.2029906,29.6933069,5.904883,17.2932768,69.3193746,42.5926779,37.1919364,20.8362755,15.6945352,46.7699294,3.5605086,40.5790441,12.5000767
1.1751063,1.2659559,13.8200221,75.8745209,76.1145032,70.0853627,21.2919101,66.7208336,24.7062913,68.3733506,34.0380522,48.6083259,17.767005,13.8938328,86.5791553,5.7610491,33.4996002,7.6693885
1.06441,1.1431293,16.827341,76.9282527,77.5534367,66.8340422,19.168176,64.259277,27.3420318,67.5809144,31.8797415,52.6403332,20.7263786,16.7600017,87.5993658,5.8740376,33.2674519,11.4078685
1.0049078,1.0071105,9.6693354,75.8775666,75.9686596,72.4015229,24.1425886,29.564173,20.7464175,65.2642621,36.8860653,49.3122221,14.229414,9.4198296,62.1489988,6.8700666,39.9230701,7.748538
1.1291398,1.1932942,16.1701245,62.8892563,66.2181416,50.8259523,28.2243291,15.4238156,16.3156405,69.425565,39.0074247,39.139946,20.3095813,15.7728929,56.1348559,4.2715063,35.6967914,13.2550469
1.3073016,1.3463249,15.7081859,57.6258153,60.4468303,55.1536644,28.3342048,5.8604922,10.7870661,66.1098986,41.9558753,36.628228,18.7997772,14.4760306,46.0539487,3.9093159,34.1274641,17.421995
1.8518048,1.8352809,11.9651657,75.1492848,74.3317169,79.8697146,25.9730764,7.7729841,13.0218139,67.9398058,37.6876708,44.1322757,17.0673104,11.9973925,46.219005,9.0350272,36.3172332,7.4107011
1.1911269,1.2104057,9.90668,76.2748055,75.7777253,73.1730018,24.3907431,27.7810255,20.0361903,66.3272573,38.7994345,49.3108398,13.9966668,9.7095136,60.0945393,7.0559034,39.5941249,6.8223166
0.8821168,0.9078941,14.4210486,69.1966363,70.1068127,65.4146912,24.6242002,58.618292,24.539677,72.0795229,35.9350985,45.9045044,17.2686486,13.3319508,83.2213345,4.2981751,35.1681154,8.151979
1.5327675,1.6530562,11.3430448,62.6059308,64.8606382,57.5823215,31.4851209,4.2574387,16.9118707,71.8548616,45.6453175,39.5181919,17.0025107,11.6288808,33.7365623,3.9137924,34.9906323,6.6929187
0.8472336,0.7937691,14.6868475,76.6925452,74.9541768,75.6062342,18.9312363,58.7570166,24.6293718,59.8185588,29.3617655,55.6294852,17.5255368,14.5078978,83.0625926,6.0328584,31.650939,13.0850935
0.8250197,0.8266027,8.5914527,63.0786545,65.360608,62.9307483,29.9730026,5.9355644,12.0431853,70.0654546,45.2749361,39.5196218,12.9287384,8.818744,40.4362668,5.3399533,40.2897084,7.9505338
1.1895498,1.1816861,10.7283931,63.8402106,64.4163192,63.7264191,27.8207004,5.7956463,12.4968298,68.3761386,41.390458,39.4904604,14.6503292,9.6844806,41.1566075,5.1899904,38.5433269,5.7990024
